Slc40a1,Kcnab2
Kcnab2,Prkcz
Slc40a1,Kcnab1
Prkcz,Fez1
Uts2r,UTS2
CRHR1,Ucn
Crhr2,Ucn
Crhr2,Ucn
Crhr2,UCN2
Crhr2,UCN3
Crhr2,Ucn2
Crhr2,Ucn3
GOPC,Stx6
ATP2B2,Dlg4
ATP2B2,Dlg1
ATP2B2,Dlg2
ATP2B4,Dlg4
ATP2B4,Dlg1
ATP2B4,Dlg2
GMEB1,Ube2i
GMEB2,Ube2i
Ube2i,Nr3c1
Ube2i,Nr3c1
Sftpd,MFAP4
Rph3al,Rab3a
RALA,Exoc4
Pawr,WT1
EPS15,Synj1
Synj1,Eps15
GRB2,Synj1
RALA,Exoc3
RALA,Ralbp1
Kcnd2,KCNIP4
DVL1,Axin1
Axin1,DVL3
Axin1,GSK3B
Axin1,CTNNB1
Axin1,APC
Hspa8,DNAJB1
Hspa8,DNAJC3
Atp1a1,Cfl1
Sstr2,DLG3
Sstr2,SNTA1
Sstr2,SHANK2
Sstr2,Shank2
Lrrc41,Tceb1
Lrrc41,Tceb2
Tceb2,Tceb1
CUL5,Tceb3
Nmu,NMUR1
Nmu,NMUR2
Ap2a2,Sptbn2
Ap2a2,Aagab
Ap1g2,Synrg
Stx1a,Stxbp1
Stx1b,Stxbp1
Stx3,Stxbp1
STX3,Stx17
Pou1f1,PITX2
NPTX2,Nptxr
NPTX2,Nptx1
Nptxr,Nptx1
Ucn,Crhr1
UCN,Crhr1
CRH,Crhr1
CRH,Crhr2
SRF,Gata2
SRF,Gata4
SRF,Gata6
Lamc1,Klf4
Nolc1,Cebpb
Cebpb,Gtf2b
Dlg4,AKAP5
Dlg1,AKAP5
AKAP5,Grin2b
AKAP5,Gria1
SOS1,Ptk2b
Ntrk2,Gipc1
TGFB1I1,Git1
Git1,PXN
Lrrc7,CAMK2A
Lrrc7,CAMK2G
Lrrc7,ACTN4
Lrrc7,Camk2a
Bckdk,Bckdhb
Pld2,Gm2a
EIF2S2,Eif5
Mapk1,HIF1A
Dcx,Nfasc
Nrxn1,Cask
Nrxn3,Cask
Nrxn2,Cask
Cask,Apba1
Dlg1,Mpp3
Dlg1,Cask
Dlg1,Dlg2
Nrxn1,Apba1
Nrxn1,Apba2
Ogt,Trak2
Trpc1,Trpc4
Trpc1,Trpc5
ESR1,Nr0b2
Nr0b2,Esr2
Itsn1,Wasl
CLTC,Epn1
CABP2,Camk2g
Slc4a7,Cftr
SHANK1,Lphn1
Dlgap1,SHANK2
Dlgap1,Shank1
Dlgap1,Shank3
Shank1,DLG4
Dlgap1,DLG4
SRSF9,Safb
Safb,TRA2B
Safb,SRSF1
Safb,U2AF1
Safb,SRSF6
Safb,Clk2
ITPR1,Homer1
ITPR1,Homer2
Pebp1,Map3k7
MAP3K14,Pebp1
IKBKB,Pebp1
CHUK,Pebp1
Pebp1,MAP3K7
Nr3c1,YDJ1
Nr3c1,SSC1
Nr3c1,HSC82
Nr3c1,HSP82
Gsk3b,E2f1
Numbl,Aup1
Rps6kb1,RBX1
Usp9x,Nuak1
Ntrk1,Sqstm1
UBC,Sqstm1
GRIN2A,Dlgap2
GRIN2B,Dlgap2
GRIN2D,Dlgap2
Ntrk1,Cyld
Cdkn1b,Skp2
Rb1,E2f1
Ncam1,Ubb
HIF1A,Vhl
RANBP2,Ube2i
RANBP2,Psmd4
RANBP2,Psmc6
RANBP2,Psmd1
Arrb2,ADRB2
Arrb2,CLTC
Arrb2,AP2M1
Arrb2,RAF1
Ap1m1,March11
Lin7a,March11
March11,Lin7c
Cdk5,Park2
FCHO1,Eps15
SGIP1,Eps15
MRS6,Rab3a
Arf6,Pex3
Arf6,Abcd3
Mecp2,ATRX
Runx2,Hdac4
Slc6a3,Nedd4
Slc6a3,Eps15
Slc6a3,Epn1
PARK2,Eps15
Ubr5,PAIP2
Hr,Hdac3
Hr,Hdac2
Hr,Hdac1
VPS18,Plk2
VPS16,Plk2
VPS33A,Plk2
Plk2,VPS11
Prkaca,cnbpa
PSMA4,Park2
Npm3,Tnp2
Kat2b,Tnp2
Ep300,Tnp2
Rela,Hdac1
CHRM2,Set
Rest,Hdac4
Rest,Hdac5
F2RL1,Cbl
Tspy1,Hist3h2a
Tspy1,Hist1h2bl
Elk1,Srf
Mkl1,Srf
Zeb1,Srf
Smad3,Zeb1
Ogt,Atxn10
CBL,Ngfr
Oaz1,CCND1
SIAH1,Sncaip
SNCA,Sncaip
Epc1,Ep300
SGS1,Rnf4
SLX5,Rnf4
SLX8,Rnf4
Myc,Brf1
Ephb1,Brf1
Rb1,Brf1
Adrbk1,HDAC5
Adrbk1,GNB1
Crebbp,Fgfr1
Csnk1a1,esc
Siah1,Sncaip
Suv39h1,Rbl2
Hdac1,Rbl2
Crebbp,Cebpb
Crebbp,Sox9
Ep300,Cebpb
Dnmt3b,Hdac2
Wnt3a,Lrp6
ADCY5,Mycbp2
Parp1,Hes1
Parp1,Tle1
Parp1,Rad50
Parp1,Top2b
Parp1,Ncl
Parp1,Sfpq
Parp1,Npm1
Parp1,Polr2a
Parp1,H3f3b
Parp1,Hist1h4b
Parp1,Crebbp
Parp1,Kat2b
Parp1,Src
Parp1,Taf1
Parp1,Camk2a
Hes1,Polr2a
Hes1,Crebbp
Hes1,Kat2b
Hes1,Src
Hes1,Camk2a
Hes1,Sfpq
Cd276,Treml2
HDAC5,Ywhae
IGF1R,Arrb1
Shc1,Grb2
Vdr,Runx2
Gtf2b,Crebbp
Gtf2b,Ep300
Prkca,Hmgb1
Prkcb,Hmgb1
Prkcg,Hmgb1
Prkcd,Hmgb1
Cyp2e1,Hsp90aa1
Cyp2e1,Hspa4
Cyp1a1,Hsp90aa1
Cyp1a1,Hspa4
Cyp2b1,Hsp90aa1
Cyp2b1,Hspa4
Cyp27a1,Hspa4
Crebbp,Pou1f1
Crebbp,Pou1f1
NCOR1,Nr3c1
NCOR2,Nr3c1
Sp1,Snurf
Snurf,Sf1
Cyp3a23/3a1,Ubc
Dvl1,Cxxc4
